en,ja
a fact table,ファクトテーブル
a master,マスタ
a primary heap disk file,プライマリヒープディスクファイル
a quoted identifier,引用符で囲まれた識別子
a system clock,システムクロック
abort,アボート
abstract,アブストラクト
abstraction,抽象化
abstruct data type,抽象データ型
accents,アクセント
Access Control List,アクセス制御リスト
access costs,アクセスコスト
access count,アクセスカウント
access logs,アクセスログ
access methods,アクセスメソッド
access paths,アクセスパス
access pattern,アクセスパターン
access penalty,アクセスペナルティ
access rights,アクセス権
access,アクセス
account,アカウント
ACL,ACL
Acronyms,頭字語
action code,アクションコード
actions,アクション
Active Directory,アクティブディレクトリ
active,アクティブ
add-in's,アドイン
Add-ins,アドイン
add-ons,アドオン
address field,アドレスフィールド
address space,アドレス空間
Address Types,アドレスデータ型
address,アドレス
admin option,アドミンオプション
Advanced Features,高度な諸機能
advanced,高度な
advice,アドバイス
advisory lock,アドバイザリロック
advisory locks,勧告的ロック
after,後
aggregate expression,集約式
aggregate functions,集約関数
aggregate,集約
aggregated arguments,集約引数
Alaska,アラスカ
algorithm,アルゴリズム
algorithms,アルゴリズム
alias,別名
Alice,アリス
allocation,アロケーション
allocation,割り当て
alphabetical order,アルファベット順
ampersand,アンパサンド
analyze,アナライズ
announce,アナウンス
ANSI,ANSI
Anti,アンチ
Anti-virus,アンチウィルス
anti-wraparound,ラップアラウンド防止
API,API
Append plan,Appendプラン
Appendixes,付録
application code,アプリケーションコード
application Data subdirectory,アプリケーションデータディレクトリ
application interfaces,アプリケーションインタフェース
application Level,アプリケーションレベル
application program,アプリケーションプログラム
application programmers,アプリケーションプログラマ
application software,アプリケーションソフトウェア
application's thread,アプリケーションスレッド
application,アプリケーション
approach,アプローチ
approach,方法
Arabic,アラビア語
architecture,アーキテクチャ
archive command,アーカイブコマンド
archive system,アーカイブシステム
archive,アーカイブ
archiving,アーカイビング
Argentina,アルゼンチン
argument,引数
Armenia,アルメニア
array,配列
array-attribute,配列属性
ASCII-armor,ASCIIアーマー
ASCII-art,アスキーアート
Asia,アジア
assertion check,アサーションチェック
assertion failures,アサーションエラー
assertion,アサーション
asserts,アサート
assigned,アサイン
asterisk,アスタリスク
asynchronous commit,非同期コミット
asynchronous Multimaster Replication,非同期マルチマスタレプリケーション
asynchronous,非同期
at sign,アットマーク
atom,アトム
atomic,原子的
atoms,アトム
attach,アタッチ
attribute,属性
attributes,属性
Australia,オーストラリア
authentication credentials,認証証明
authentication,認証
author,作者
authority,権限
auto-transactin mode,自動トランザクションモード
Autochanger,オートチェンジャ
autonumbering,自動付番
autovacuum launcher,自動バキュームランチャ
autovacuum processes,自動バキュームプロセス
autovacuum transactions,自動バキュームトランザクション
autovacuum worker process,バキュームワーカプロセス
autovacuum worker,自動バキュームワーカ
autovacuum workers,自動バキュームワーカ
autovacuum,オートバキューム
autovacuum,自動バキューム
average,平均
B-tree,B-tree
back reference,後方参照
back references,後方参照
back-patch,バックパッチ
backed-up data,バックアップデータ
backend header files,バックエンドヘッダファイル
Backend interface,バックエンドインターフェイス
Backend Interface,バックエンドインタフェース
backend macros,バックエンドマクロ
Backend memory,バックエンドメモリ
backend message,バックエンドメッセージ
backend parameters,バックエンドパラメータ
backend process,バックエンドプロセス
backend protocol,バックエンドプロトコル
backend server process,バックエンドサーバプロセス
backend server,バックエンドサーバ
backend shutdown,バックエンドシャットダウン
Backend stack size,バックエンドスタックサイズ
backend,バックエンド
background database processes,バックグランドデータベースプロセス
background process,バックグラウンドプロセス
background process,バックグランドプロセス
background runner,バックグラウンドランナー
background tables,バックグラウンドテーブル
background worker process,バックグラウンドワーカープロセス
background worker process,バックグランドワーカープロセス
background worker processes,バックグラウンドワーカプロセス
background worker,バックグラウンドワーカ
background writer process's,バックグラウンドライタプロセス
background writer,バックグラウンドライタ
background writer,バックグラウンドライター
background writer,バックグランドライタ
background,バックグラウンド
backlog queue,バックログキュー
backport,バックポート
backslash command,バックスラッシュコマンド
backslash commands,バックスラッシュコマンド
backslash escape sequence,バックスラッシュエスケープシーケンス
backslash escape,バックスラッシュ
backslash escape,バックスラッシュエスケープ
backslash,バックスラッシュ
backspace,バックスペース
backspace,後退
backstop,バックネット
backticks,逆引用符
backup blocks,バックアップブロック
backup copy,バックアップコピー
backup device,バックアップデバイス
backup dump file,バックアップダンプファイル
backup dump,バックアップダンプ
backup file,バックアップファイル
backup history file,バックアップ履歴ファイル
backup label file,バックアップラベルファイル
backup label,バックアップラベル
backup mode,バックアップモード
backup scripts,バックアップスクリプト
backup server,バックアップサーバ
backup session,バックアップセッション
backup sets,バックアップセット
backup software,バックアップソフトウェア
backup tool,バックアップツール
backup,バックアップ
Bahamas,バハマ
Balance,バランス
Baltic,バルト語派
Bangladesh,バングラデシュ
banner,バナー
barrier,バリア
base backup,ベースバックアップ
base directory,ベースディレクトリ
base name,ベースネーム
base table,ベーステーブル
base table,基本テーブル
base tables,実テーブル
base type,基本型
base,ベース
basic,基本
batch job,バッチジョブ
batch,バッチ
battery,バッテリ
battery,バッテリー
battery-backed,バッテリー・バックアップ
battery-backup units,バッテリバックアップ付き装置
battery-backup,バッテリバックアップ
before,前
Belgium,ベルギー
bell,ベル
benchmark scenarios,ベンチマークシナリオ
Benchmark,ベンチマーク
Berkeley code,バークレイコード
berkeley,バークレイ
best,ベスト
beta,ベータ
bibliography,参考文献
big-endian,ビッグエンディアン
binary backups,バイナリバックアップ
binary coercion casts,バイナリキャスト
Binary copy,バイナリコピー
